Executable ID (Access Type),Model,Version,US10,US21,US30,BR10,CA10
azure-openai,whisper,001,Yes,Yes,Yes,,
azure-openai,gpt-realtime-mini,1,,,,,
gcp-vertexai,gemini-3.1-pro-preview-ea,001,,,,,
gcp-vertexai,gemini-3-pro-image,001,Yes,Yes,Yes,,
gcp-vertexai,gemini-3.1-flash-image,001,Yes,Yes,Yes,,
gcp-vertexai,gemini-live-2.5-flash-native-audio,1,,,,,
aicore-sap,llama-cinderella-dn,1,,,,,
aicore-sap,cinderella-base,2608,,,,,
aicore-sap,sap-instruction-following-reranker,2606,,,,,
aicore-sap,sap-rpt-1.1-preview,1.1,Yes,Yes,Yes,Yes,
aicore-sap,tabPFN,3,,,,,
prior-labs,tabpfn-3-plus,2609,,,,,
aicore-sap,nova-core,2608,,,,,
aicore-sap,abap-codestral,v1,Yes,Yes,Yes,Yes,
aicore-sap,abap-codestral,v2,Yes,Yes,Yes,Yes,
aicore-sap,abap-starcoder2-7b,v6,Yes,Yes,Yes,Yes,
aicore-ibm,ibm--granite-guardian-8b,4.1,,,,,
perplexity-ai,sonar-deep-research,perplexity-us,Yes,Yes,Yes,Yes,
aicore-opensource,qwen3.8-27b-dev-preview,2609-dev-preview,,,,,
prior-labs,aicore-mock-tabpfn,3,,,,,
aicore-opensource,aicore-mock-websocket,1,,,,,
