Executable ID (Access Type),Model,Version,SA30,AE01
azure-openai,whisper,001,,Yes
azure-openai,gpt-realtime-mini,1,,
gcp-vertexai,gemini-3.1-pro-preview-ea,001,,
gcp-vertexai,gemini-3-pro-image,001,,
gcp-vertexai,gemini-3.1-flash-image,001,,
gcp-vertexai,gemini-live-2.5-flash-native-audio,1,,
aicore-sap,llama-cinderella-dn,1,,
aicore-sap,cinderella-base,2608,,
aicore-sap,sap-instruction-following-reranker,2606,,
aicore-sap,sap-rpt-1.1-preview,1.1,,
aicore-sap,tabPFN,3,,
prior-labs,tabpfn-3-plus,2609,,
aicore-sap,nova-core,2608,,
aicore-sap,abap-codestral,v1,,
aicore-sap,abap-codestral,v2,,
aicore-sap,abap-starcoder2-7b,v6,,
aicore-ibm,ibm--granite-guardian-8b,4.1,,
perplexity-ai,sonar-deep-research,perplexity-us,,
aicore-opensource,qwen3.8-27b-dev-preview,2609-dev-preview,,
prior-labs,aicore-mock-tabpfn,3,,
aicore-opensource,aicore-mock-websocket,1,,
