Executable ID (Access Type),Model,Version,US10,US21,US30,BR10,CA10
alibaba-bailian,qwen3-max,latest,,,,,
alibaba-bailian,deepseek-v3.2,latest,,,,,
alibaba-bailian,deepseek-r1-0528,latest,,,,,
alibaba-bailian,qwen3.6-plus,latest,,,,,
alibaba-bailian,qwen3.6-flash,latest,,,,,
alibaba-bailian,qwen3.7-max,latest,,,,,
alibaba-bailian,qwen3.7-plus,latest,,,,,
alibaba-bailian,text-embedding-v4,latest,,,,,
azure-openai,gpt-4o,2024-05-13,Yes,Yes,Yes,Yes,
azure-openai,gpt-4o,2024-11-20,Yes,Yes,Yes,Yes,Yes
azure-openai,gpt-4o,2024-08-06,Yes,Yes,Yes,Yes,
azure-openai,gpt-4o-mini,2024-07-18,Yes,Yes,Yes,Yes,
azure-openai,o1,2024-12-17,Yes,Yes,Yes,,
azure-openai,o3,2025-04-16,Yes,Yes,Yes,,
azure-openai,o3-mini,2025-01-31,Yes,Yes,Yes,,
azure-openai,o4-mini,2025-04-16,Yes,Yes,Yes,Yes,
azure-openai,gpt-4.1,2025-04-14,Yes,Yes,Yes,Yes,
azure-openai,gpt-4.1-nano,2025-04-14,Yes,Yes,Yes,,
azure-openai,gpt-4.1-mini,2025-04-14,Yes,Yes,Yes,Yes,Yes
azure-openai,gpt-5,2025-08-07,Yes,Yes,Yes,Yes,
azure-openai,gpt-5.1,2025-11-13,,,,,
azure-openai,gpt-5.3-codex,2026-02-24,Yes,Yes,Yes,Yes,
azure-openai,gpt-5.4,2026-03-05,Yes,Yes,Yes,Yes,
azure-openai,gpt-5.4-nano,2026-03-17,Yes,Yes,Yes,Yes,
azure-openai,gpt-5.4-mini,2026-03-17,,,,,
azure-openai,gpt-5.5,2026-04-24,Yes,Yes,Yes,Yes,
azure-openai,gpt-5.6-terra,2026-07-09,Yes,Yes,Yes,Yes,
azure-openai,gpt-5.6-luna,2026-07-09,Yes,Yes,Yes,Yes,
azure-openai,gpt-5.6-sol,2026-07-09,Yes,Yes,Yes,Yes,
azure-openai,gpt-5.2,2025-12-11,Yes,Yes,Yes,,
azure-openai,gpt-5-mini,2025-08-07,Yes,Yes,Yes,Yes,
azure-openai,gpt-5-nano,2025-08-07,Yes,Yes,Yes,Yes,
azure-openai,gpt-5.1,2025-11-13,,,,,
azure-openai,gpt-5.5,2026-04-24,Yes,Yes,Yes,Yes,
azure-openai,text-embedding-ada-002,2,Yes,Yes,Yes,Yes,Yes
azure-openai,text-embedding-3-large,1,Yes,Yes,Yes,Yes,Yes
azure-openai,text-embedding-3-small,1,Yes,Yes,Yes,,Yes
azure-openai,gpt-realtime,2025-08-28,Yes,Yes,Yes,,
